4c000000-4e000000 r-xs 02000000 00:01 3074                               [anon_shmem:dalvik-zygote-jit-code-cache]
50000000-52000000 r-xs 02000000 00:01 2052                               [anon_shmem:dalvik-jit-code-cache]
70a54000-70c8c000 r-xp 00098000 fe:00 1354                               /system/framework/arm64/boot.oat
70ca0000-70cdc000 r-xp 00010000 fe:00 1321                               /system/framework/arm64/boot-core-libart.oat
70cf0000-70d1c000 r-xp 00010000 fe:00 1345                               /system/framework/arm64/boot-okhttp.oat
70d28000-70d38000 r-xp 00008000 fe:00 1315                               /system/framework/arm64/boot-bouncycastle.oat
70f30000-7153c000 r-xp 001f0000 fe:00 1339                               /system/framework/arm64/boot-framework.oat
71548000-7154c000 r-xp 00004000 fe:00 1333                               /system/framework/arm64/boot-framework-location.oat
71554000-71568000 r-xp 00008000 fe:00 1324                               /system/framework/arm64/boot-ext.oat
71574000-71578000 r-xp 00004000 fe:00 1351                               /system/framework/arm64/boot-voip-common.oat
715ac000-71660000 r-xp 0002c000 fe:00 1318                               /system/framework/arm64/boot-core-icu4j.oat
717f8000-71818000 r-xp 00024000 fe:00 1327                               /system/framework/arm64/boot-framework-adservices.oat
5d4d3cdec000-5d4d3cdf0000 r-xp 00004000 fe:00 241                        /system/bin/app_process64
7a8876b20000-7a8876d2c000 r-xp 01c0c000 fe:02 195                        /system_ext/priv-app/SystemUIGoogle/SystemUIGoogle.apk
7a887f694000-7a887f69c000 r-xp 0000c000 07:50 46                         /apex/com.android.media.swcodec/lib64/android.hardware.media.bufferpool2-V2-ndk.so
7a887f6cc000-7a887f6dc000 r-xp 0000c000 07:50 44                         /apex/com.android.media.swcodec/lib64/android.hardware.graphics.mapper@3.0.so
7a887f718000-7a887f71c000 r-xp 00004000 07:50 38                         /apex/com.android.media.swcodec/lib64/android.hardware.graphics.common-V7-ndk.so
7a887f760000-7a887f76c000 r-xp 0000c000 07:50 42                         /apex/com.android.media.swcodec/lib64/android.hardware.graphics.mapper@2.0.so
7a887f798000-7a887f7b4000 r-xp 00018000 07:50 47                         /apex/com.android.media.swcodec/lib64/android.hardware.media.bufferpool@2.0.so
